1,215,B 545/546(土休),160,泊172,明113,休,公
19,B 533/534(土休),20,F-35,泊174,明117,休,公
2,B 529/530(土休),10,F-24,★112,35(平休),129,公
20,157,A 513/514(休),27,F-20,163(休),119,公
3,144,104(平),229,F-5,141/鷹B,休,公
21,B 539/540(土休),138,156,泊34,明103,休,公
4,F-8,B 505/506,25,165(休)★,F-11,127,公
22,B 517/518(土休),136,124,F-19,209★,121,公
5,B 543/544(土休),126,26,泊178,明111,休,公
23,F-34,4,F-22,199★,11,123,公
6,146,102(平),227,193★,F-16,123,公
24,F-9,203,A 535/536(土),37(平),207,131,公
7,F-29,2,★114,41(平),鷹A,休,公
25,A 547/548(休),F-31,24,泊180,明109,休,公
8,169(休),B 503/504(土休),日勤予備,181(土休)★,23,147,公
26,B 511/512(土),134,F-26,231,167(休),145,公
9,F-15,B 509/510(土休),154,泊176,明107,休,公
27,12,130,F-25,213,A 549/D 予備,休,公
10,142,122,F-21,★110,F-12,9,公
28,A 541/542(休),223,F-17,187,177(休)★,143,公
11,A 537/538(休),33,F-10,155,153,休,公
29,16,148,F-33,泊170,明101,休,公
12,F-14,183,179★(土休),225,175(休),5,公
30,B 507/508(土),8,39(平),201,F-1,125,公
13,B 531/532,F-30,152,泊32,明1,休,公
31,F-7,191★,185,F-4,151,休,公
14,F-32,6,F-23,211★,29(土休),133,公
32,A 527/528(休),14,F-27,233,195,149,公
15,21(土休),A 521/522(土),31,F-3,本A予備,休,公
33,431/B予備/438,106(平),158,泊184,明105,休,公
16,F-6,A 501/502(休),205,189★,171(休),139,公
34,B 525/526(土),18,221,F-13,161,137,公
17,B 519/520(休),132,22,泊182,明115,休,公
35,F-18,197,150,宿泊予備,明け予備,休,公
18,F-28,108,B 515/516(ど),217,173(休),3,公
36,A 523/524(休),140,120(平休),219,F-2,7,公